model,policy,mode,transform,dataset,node
gemma3_4b,default,text_image,baseline,MMStar,1
gemma3_4b,default,image_image_text,baseline,MathVision,1
gemma3_4b,default,image_image_text,baseline,VisualPuzzles,1
gemma3_4b,default,image_image_text,baseline,OCRBench,1
gemma3_4b,default,image_image_text,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,1
gemma3_4b,default,image_image_text,baseline,MMBench_DEV_EN_V11,1
gemma3_4b,default,image_text_image,baseline,DynaMath,1
gemma3_4b,default,image_text_image,baseline,LogicVista,1
gemma3_4b,default,image_text_image,baseline,AI2D_TEST,1
gemma3_4b,default,image_text_image,baseline,SEEDBench2_Plus,1
gemma3_4b,default,image_text_image,baseline,WeMath,1
gemma3_4b,default,image_text_image,baseline,MMStar,1
gemma3_4b,default,image_text_text,baseline,MathVision,1
gemma3_4b,default,image_text_text,baseline,VisualPuzzles,1
gemma3_4b,default,image_text_text,baseline,OCRBench,1
gemma3_4b,default,image_text_text,baseline,MMMU_DEV_VAL_SINGLE_IMAGE,1
gemma3_4b,default,image_text_text,baseline,MMBench_DEV_EN_V11,1
gemma3_4b,default,image_text_image_text,baseline,DynaMath,1
gemma3_4b,default,image_text_image_text,baseline,LogicVista,1
gemma3_4b,default,image_text_image_text,baseline,AI2D_TEST,1
gemma3_4b,default,image_text_image_text,baseline,SEEDBench2_Plus,1
gemma3_4b,default,image_text_image_text,baseline,WeMath,1
gemma3_4b,default,image_text_image_text,baseline,MMStar,1
