model_key,policy,mode,transform,dataset,kind,status,weight
qwen25vl_7b,default,image_text_image,blank,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,rotate180,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,rotate180,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,rotate180,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,rotate180,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,rotate180,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,rotate180,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,rotate180,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,rotate180,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_right_halfpatch_wrap,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_right_onepatch_wrap,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_down_halfpatch_wrap,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,shift_down_onepatch_wrap,SEEDBench2_Plus,replace,missing,4554.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,MathVision,replace,missing,6080.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,DynaMath,replace,missing,10020.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,LogicVista,replace,missing,894.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,VisualPuzzles,replace,missing,2336.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,MathVista_MINI,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,AI2D_TEST,replace,missing,6176.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,OCRBench,replace,missing,2000.00
qwen25vl_7b,default,image_text_image,zoom_1p5_uncropped,SEEDBench2_Plus,replace,missing,4554.00
